"graph_id","ec_class","node_count","edge_count","radius","diameter","mean_eigen_cent"
1,"6",37,168,6,12,0.323953240289596
2,"6",23,102,4,8,0.500625860449984
3,"6",25,92,6,11,0.292044990989451
4,"6",24,90,6,12,0.394723946659438
5,"6",23,90,5,9,0.388649180734622
6,"6",24,92,5,10,0.527557431636085
7,"6",26,118,4,8,0.343799034431391
8,"6",88,266,11,21,0.11256818391587
9,"6",23,78,7,13,0.296115506073388
10,"6",32,106,10,19,0.38062801231451
11,"6",4,12,1,1,1
12,"6",14,56,3,5,0.481042134933821
13,"6",42,150,12,23,0.20688070812328
14,"6",41,146,12,23,0.211878523092468
15,"6",36,128,10,19,0.351913580837635
16,"6",55,194,6,11,0.239606779326877
17,"6",40,190,5,10,0.324171722116907
18,"6",38,182,5,10,0.344356523321745
19,"6",2,2,1,1,1
20,"6",35,140,8,15,0.278587410583738
21,"6",42,180,8,15,0.311044941547759
22,"6",41,180,8,15,0.318580511914368
23,"6",39,162,8,15,0.374530844930439
24,"6",42,184,7,14,0.311941089424899
25,"6",41,176,7,14,0.326486279449905
26,"6",40,170,8,15,0.325311968167479
27,"6",37,166,8,15,0.30769995353532
28,"6",23,98,4,7,0.62975421752819
29,"6",22,94,4,8,0.569265500733491
30,"6",34,132,8,16,0.21230893192958
31,"6",38,162,6,11,0.433609584164388
32,"6",38,158,5,10,0.352399793965878
33,"6",39,164,6,12,0.450840617227562
34,"6",8,28,2,3,0.749627424516432
35,"6",23,88,6,11,0.363848432498097
36,"6",42,162,7,14,0.185986092518767
37,"6",42,160,7,14,0.217997794049216
38,"6",100,32,1,2,0.0341996817300415
39,"6",24,86,6,11,0.286202399914331
40,"6",24,100,4,8,0.421321809886942
41,"6",47,190,7,14,0.347218823903862
42,"6",45,194,8,16,0.318326352027503
43,"6",45,190,8,16,0.309604017660656
44,"6",45,190,8,16,0.309604017660655
45,"6",46,194,8,16,0.292311845509515
46,"6",44,190,8,15,0.249950738704723
